normdF = 451.181347346017901  normdF_normal = 394.494077888743675  err = 10.077567384270365
normdF = 22468.724956098438270  normdF_normal = 22468.037438639548782  err = 0.426872097733123
normdF = 13468.848540277833308  normdF_normal = 13467.657674961847079  err = 0.322862630378311
normdF = 18139.994867157423869  normdF_normal = 18139.032701323514630  err = 0.289556442050062
normdF = 8153.268919560465292  normdF_normal = 8152.164185266651657  err = 0.343215823493064
normdF = 9491.972146692351089  normdF_normal = 9490.823054490290815  err = 0.322918592213470
normdF = 6366.152633961618449  normdF_normal = 6364.554291903244120  err = 0.334445258231676
normdF = 9472.268820073197276  normdF_normal = 9470.907133752341906  err = 0.227838122461251
normdF = 9741.362889738704325  normdF_normal = 9739.689316327814595  err = 0.745448635505425
normdF = 8477.229983862804147  normdF_normal = 8476.210099430472837  err = 0.349603931791151
normdF = 6067.668387240933953  normdF_normal = 6065.707635247976214  err = 0.167507805595069
normdF = 8466.849312518768784  normdF_normal = 8465.386922379670068  err = 0.341189705399735
normdF = 16709.942227333958726  normdF_normal = 16708.787999533920811  err = 0.310021402108996
normdF = 9939.897800636996180  normdF_normal = 9938.675388705709338  err = 0.840252750622649
normdF = 14925.471667390685980  normdF_normal = 14924.444735017137646  err = 0.207630650128626
normdF = 6774.166185617687916  normdF_normal = 6772.792465459555387  err = 0.452972790184436
normdF = 7098.877123044632754  normdF_normal = 7097.526177869081039  err = 0.557292040133662
normdF = 7520.504292939614970  normdF_normal = 7519.513057757687420  err = 0.325959782996998
normdF = 7252.201795149631835  normdF_normal = 7251.097626769214912  err = 0.265459804065981
normdF = 4720.120528872699651  normdF_normal = 4718.841659982374040  err = 0.591790628940200
normdF = 7121.520130229603637  normdF_normal = 7119.826080494844973  err = 0.377714643232424
normdF = 8376.228973758135908  normdF_normal = 8375.292189689411316  err = 0.261392894099279
normdF = 7403.816258619244763  normdF_normal = 7402.491984046242578  err = 0.210241679909352
normdF = 4143.086385778781732  normdF_normal = 4141.420085031721101  err = 0.311575104244810
normdF = 8739.761276864788670  normdF_normal = 8738.885531119309235  err = 0.309039917498906
normdF = 5942.652797269858638  normdF_normal = 5941.312057439565251  err = 0.440203673037193
normdF = 10710.476037638096386  normdF_normal = 10709.685387157011064  err = 0.288675707616650
normdF = 4496.969217842601211  normdF_normal = 4495.244766493176940  err = 0.958078602299917
normdF = 6407.335656183955507  normdF_normal = 6406.311905632995149  err = 0.201021125221893
normdF = 6292.731683097981659  normdF_normal = 6291.290569019470240  err = 1.424406603529600
normdF = 14193.616234956731205  normdF_normal = 14192.522648546484561  err = 0.352215034699248
normdF = 4606.643227082739941  normdF_normal = 4605.358342424886359  err = 0.252148414608442
normdF = 6779.170446328083926  normdF_normal = 6777.804045509177740  err = 0.278177338472342
normdF = 8327.582649241190666  normdF_normal = 8326.703566834101366  err = 0.210576672060960
normdF = 7852.063346176690175  normdF_normal = 7850.327916817856931  err = 0.203129280239584
normdF = 10122.594559103377833  normdF_normal = 10121.786653447679782  err = 0.190727681033269
normdF = 5031.115219846761647  normdF_normal = 5030.007475994954802  err = 0.232832912819787
normdF = 6117.787319883893360  normdF_normal = 6116.678601583950694  err = 0.283630786249601
normdF = 4944.565387881535571  normdF_normal = 4943.432793199958724  err = 0.179627143941409
