normdF = 5.645998638726074  normdF_normal = 5.227693408045484  err = 0.678811172138790
normdF = 115.610341478312151  normdF_normal = 115.576187844973575  err = 0.085413036252535
normdF = 540.096098952265720  normdF_normal = 540.089625383750445  err = 0.011866534201329
normdF = 102.899205862937819  normdF_normal = 102.868650464854682  err = 0.013272416040032
normdF = 103.645698585237440  normdF_normal = 103.603817397803780  err = 0.013773991299196
normdF = 139.784992713362698  normdF_normal = 139.753751696530969  err = 0.021921694754840
normdF = 101.569394101251220  normdF_normal = 101.515611871855711  err = 0.035507510424750
normdF = 135.010999258557973  normdF_normal = 134.982896120319225  err = 0.012026229473388
normdF = 118.723371651384937  normdF_normal = 118.674417192881904  err = 0.017914640728302
normdF = 193.412473548627474  normdF_normal = 193.388272873532117  err = 0.010007768398032
normdF = 152.067017483579576  normdF_normal = 152.011965293575741  err = 0.013833588178982
normdF = 161.824986835086321  normdF_normal = 161.797289825562245  err = 0.009287271813421
normdF = 190.135545193171509  normdF_normal = 190.107038311369763  err = 0.014723391482010
normdF = 193.780664248466792  normdF_normal = 193.750560988707576  err = 0.013672050864952
normdF = 199.487732783830069  normdF_normal = 199.461615509678381  err = 0.011057079201560
normdF = 116.489364949650863  normdF_normal = 116.462566537752082  err = 0.020913908194996
normdF = 183.110705897886362  normdF_normal = 183.073691871195336  err = 0.507052398144960
normdF = 685.231151454071551  normdF_normal = 685.203506018529083  err = 0.088001180739383
normdF = 219.601113667680977  normdF_normal = 219.580077598362749  err = 0.041365108528618
normdF = 130.764232734057487  normdF_normal = 130.732009240842473  err = 0.092649508661741
normdF = 155.329195029970123  normdF_normal = 155.297856682467710  err = 0.019187731206482
normdF = 140.673576093774528  normdF_normal = 140.635123371418587  err = 0.032197221730869
normdF = 175.298514322350798  normdF_normal = 175.274651583670561  err = 0.008948499965268
normdF = 187.798039212940353  normdF_normal = 187.753490476988759  err = 0.044008601435389
normdF = 271.172844686151109  normdF_normal = 271.148200823903551  err = 0.012639883839174
normdF = 271.423757417680122  normdF_normal = 271.401780766470040  err = 0.008832257462071
normdF = 170.724315574164962  normdF_normal = 170.688486696445835  err = 0.027146577957323
normdF = 109.448344927289554  normdF_normal = 109.417900525448516  err = 0.023146245872921
normdF = 113.645582536577223  normdF_normal = 113.603463520862917  err = 0.011301363254303
normdF = 209.875393929476786  normdF_normal = 209.840527494164320  err = 0.041303193525627
normdF = 155.772694203621370  normdF_normal = 155.733807561210540  err = 0.030671915605029
normdF = 122.715796306888478  normdF_normal = 122.684015786147370  err = 0.029444798428164
normdF = 242.168046941009123  normdF_normal = 242.134262635883886  err = 0.016888804998620
normdF = 169.376798832223045  normdF_normal = 169.339305436022073  err = 0.022334609169507
normdF = 134.353268373863841  normdF_normal = 134.331307775967133  err = 0.008372796871415
normdF = 138.774954678971767  normdF_normal = 138.745045922038997  err = 0.011960383756307
normdF = 73.594002949442839  normdF_normal = 73.548882136377159  err = 0.006296345398733
normdF = 99.080588737629384  normdF_normal = 99.055516225197707  err = 0.050929341702598
normdF = 220.113847899228830  normdF_normal = 220.087526053521884  err = 0.011196993445253
normdF = 214.363756527371635  normdF_normal = 214.325517954666680  err = 0.021632940122335
normdF = 102.640134090243009  normdF_normal = 102.608515915745727  err = 0.037255629130202
normdF = 199.653461522352046  normdF_normal = 199.616982373487389  err = 0.014587783783981
normdF = 192.395841770020070  normdF_normal = 192.365243295381305  err = 0.017236575170400
normdF = 140.340791657432760  normdF_normal = 140.310604403307963  err = 0.034979508610379
normdF = 174.049244384053935  normdF_normal = 174.017935664497543  err = 0.019116916268394
normdF = 156.144837039459219  normdF_normal = 156.119919746767920  err = 0.012441966611342
normdF = 193.860844888157402  normdF_normal = 193.830210016939390  err = 0.012867281188602
normdF = 97.568378279428060  normdF_normal = 97.531079195915495  err = 0.014528836988080
normdF = 157.412698048773279  normdF_normal = 157.377720620470399  err = 0.010511037285623
normdF = 97.711702410839635  normdF_normal = 97.684781035622166  err = 0.008829804813359
normdF = 115.558420834588517  normdF_normal = 115.513892250200001  err = 0.024039518621220
normdF = 165.439673708556796  normdF_normal = 165.409314417571693  err = 0.020116770711039
normdF = 122.617320842928862  normdF_normal = 122.575125515214452  err = 0.017076324996083
normdF = 168.543006763759792  normdF_normal = 168.504343480445300  err = 0.046024189577466
normdF = 138.292874750584645  normdF_normal = 138.270336558583409  err = 0.030450714026972
normdF = 114.701242560968467  normdF_normal = 114.661916380708277  err = 0.012530873527783
normdF = 112.414240163991650  normdF_normal = 112.366026357351885  err = 0.104329312802814
normdF = 331.479625094597395  normdF_normal = 331.464086825402546  err = 0.021801145560027
normdF = 81.951847117861405  normdF_normal = 81.915990079950873  err = 0.016234523371782
normdF = 126.108143289187552  normdF_normal = 126.066278857310095  err = 0.012001572594326
