normdF = 1202083.876323758158833  normdF_normal = 1202083.825493336655200  err = 5.002726322009802
normdF = 1289.955755221040818  normdF_normal = 1289.947597888584824  err = 0.080258897013861
normdF = 1004.442214782317137  normdF_normal = 1004.429858462734842  err = 0.063459966426835
normdF = 1225.722815832362585  normdF_normal = 1225.705662425204309  err = 0.061677801001538
normdF = 1035.665624710813518  normdF_normal = 1035.649288761599564  err = 0.065623849227600
normdF = 1103.424013802903119  normdF_normal = 1103.403915969785658  err = 0.116276944571834
normdF = 557.412790666954493  normdF_normal = 557.398314143455650  err = 0.054086793287111
normdF = 821.793625119613921  normdF_normal = 821.778391206152492  err = 0.038474702725069
normdF = 621.519372703112595  normdF_normal = 621.499740287106306  err = 0.067797732219188
normdF = 852.343884047624897  normdF_normal = 852.320019290078221  err = 0.069977312386314
normdF = 651.471034011272423  normdF_normal = 651.448545136993403  err = 0.065893966397902
normdF = 1018.608407196329608  normdF_normal = 1018.585872750279123  err = 0.075296108453509
normdF = 786.643284150271484  normdF_normal = 786.624533353738570  err = 0.057488178393295
normdF = 641.802231969837749  normdF_normal = 641.776116172085381  err = 0.134305775663881
normdF = 525.012786659484050  normdF_normal = 524.988614975411906  err = 0.059589226780604
normdF = 435.123469468124995  normdF_normal = 435.101658739065272  err = 0.035982168978080
normdF = 359.090512265510995  normdF_normal = 359.059621281814657  err = 0.048603414224580
normdF = 368.831663187800018  normdF_normal = 368.810151789295162  err = 0.039346384350499
normdF = 312.243334643877802  normdF_normal = 312.210621733367532  err = 0.070014939851653
normdF = 429.997659352150663  normdF_normal = 429.979945580011872  err = 0.027153984401545
normdF = 442.889602738411952  normdF_normal = 442.860549758359355  err = 0.203039983871798
normdF = 570.534800316634005  normdF_normal = 570.519065420399556  err = 0.048129819982346
normdF = 282.873968378066309  normdF_normal = 282.845461385912927  err = 0.068708592019001
normdF = 375.427544779653374  normdF_normal = 375.409144789554773  err = 0.029892241582911
